record_from,record_to,cos_distance
19,89,[[0.29301524]]
19,90,[[0.31818461]]
19,91,[[0.33109579]]
19,95,[[0.41784556]]
19,96,[[0.38539322]]
19,97,[[0.39214528]]
19,98,[[0.41074678]]
19,99,[[0.47120509]]
20,21,[[0.91205265]]
20,22,[[0.90544636]]
20,28,[[0.16301862]]
20,29,[[0.35597647]]
20,31,[[0.3397951]]
20,32,[[0.3895971]]
20,33,[[0.39855551]]
20,34,[[0.38781817]]
20,37,[[0.45335131]]
20,38,[[0.41265933]]
20,39,[[0.40985668]]
20,40,[[0.29245619]]
20,41,[[0.22698603]]
20,42,[[0.29185325]]
20,46,[[0.30323036]]
20,47,[[0.32125559]]
20,48,[[0.29491597]]
20,49,[[0.26483116]]
20,50,[[0.28006097]]
20,56,[[0.42941808]]
20,57,[[0.45402017]]
20,58,[[0.38909652]]
20,69,[[0.3702554]]
20,70,[[0.36433048]]
20,71,[[0.42587245]]
20,72,[[0.34720636]]
20,73,[[0.41508844]]
20,74,[[0.3122187]]
20,75,[[0.44374381]]
20,87,[[0.29019513]]
20,88,[[0.21967418]]
20,89,[[0.20246284]]
20,90,[[0.26760036]]
20,91,[[0.2670632]]
20,95,[[0.43584356]]
20,96,[[0.4066387]]
20,97,[[0.41240852]]
20,98,[[0.42570074]]
20,99,[[0.48622478]]
21,22,[[0.83143411]]
21,28,[[0.11956807]]
21,29,[[0.31164924]]
21,31,[[0.1759863]]
21,32,[[0.26539316]]
21,33,[[0.2626839]]
21,34,[[0.26051116]]
21,37,[[0.29426614]]
21,38,[[0.2590236]]
21,39,[[0.23601812]]
21,40,[[0.36092382]]
21,41,[[0.31840079]]
21,42,[[0.36815175]]
21,46,[[0.23528033]]
21,47,[[0.22549212]]
21,48,[[0.20117012]]
21,49,[[0.19625542]]
21,50,[[0.21194501]]
21,56,[[0.42737184]]
21,57,[[0.44024363]]
21,58,[[0.45214973]]
21,69,[[0.386202]]
21,70,[[0.38726032]]
21,71,[[0.46789564]]
21,72,[[0.36693766]]
21,73,[[0.4519657]]
21,74,[[0.25563377]]
21,75,[[0.37191729]]
21,87,[[0.38500431]]
21,88,[[0.31651809]]
21,89,[[0.30503636]]
21,90,[[0.33414902]]
21,91,[[0.35621373]]
21,95,[[0.39340065]]
21,96,[[0.33837991]]
21,97,[[0.37019087]]
21,98,[[0.35627351]]
21,99,[[0.41437647]]
22,28,[[0.30907862]]
22,29,[[0.45624716]]
22,31,[[0.31152888]]
22,32,[[0.35902065]]
22,33,[[0.36026102]]
22,34,[[0.34646205]]
22,37,[[0.43425901]]
22,38,[[0.36606436]]
22,39,[[0.38979202]]
22,40,[[0.3182245]]
22,41,[[0.30769342]]
22,42,[[0.36532796]]
22,46,[[0.31983307]]
22,47,[[0.31859205]]
22,48,[[0.31101801]]
22,49,[[0.27322035]]
22,50,[[0.30947909]]
22,56,[[0.42521456]]
22,57,[[0.44176358]]
22,58,[[0.33751227]]
22,69,[[0.38074462]]
22,70,[[0.37967958]]
22,71,[[0.40793865]]
22,72,[[0.33583815]]
22,73,[[0.40635757]]
22,74,[[0.42442268]]
22,75,[[0.50284814]]
22,87,[[0.40837968]]
22,88,[[0.33104262]]
22,89,[[0.34075595]]
22,90,[[0.31851619]]
22,91,[[0.3488472]]
22,95,[[0.3635322]]
22,96,[[0.34962379]]
22,97,[[0.3355312]]
22,98,[[0.36500429]]
22,99,[[0.42291377]]
28,29,[[0.92518352]]
28,31,[[0.46283972]]
28,32,[[0.43935898]]
28,33,[[0.43601357]]
28,34,[[0.44553668]]
28,37,[[0.28082869]]
28,38,[[0.29753393]]
28,39,[[0.29998004]]
28,40,[[0.38125881]]
28,41,[[0.37746434]]
28,42,[[0.37658986]]
28,46,[[0.37196682]]
28,47,[[0.47135853]]
28,48,[[0.45303512]]
28,49,[[0.42102858]]
28,50,[[0.46890446]]
28,56,[[0.48821271]]
28,57,[[0.46656281]]
28,58,[[0.39983634]]
28,69,[[0.44645935]]
28,70,[[0.42016991]]
28,71,[[0.25360421]]
28,72,[[0.43355959]]
28,73,[[0.4093294]]
28,74,[[0.93728354]]
28,75,[[0.86226967]]
28,87,[[0.40215492]]
28,88,[[0.3905656]]
28,89,[[0.41521458]]
28,90,[[0.35906872]]
28,91,[[0.37843775]]
28,95,[[0.40303187]]
28,96,[[0.42119982]]
28,97,[[0.38472688]]
28,98,[[0.45003203]]
28,99,[[0.39496045]]
29,31,[[0.35271459]]
29,32,[[0.35825408]]
29,33,[[0.3451989]]
29,34,[[0.37219591]]
29,37,[[0.31484323]]
29,38,[[0.32423682]]
29,39,[[0.30725428]]
29,40,[[0.43083117]]
29,41,[[0.42114758]]
29,42,[[0.4192729]]
29,46,[[0.32257361]]
29,47,[[0.4242366]]
29,48,[[0.41178087]]
29,49,[[0.36425736]]
29,50,[[0.41765815]]
29,56,[[0.47568945]]
29,57,[[0.47270605]]
29,58,[[0.42013778]]
29,69,[[0.48261912]]
29,70,[[0.4800036]]
29,71,[[0.29655234]]
29,72,[[0.46722799]]
29,73,[[0.46083341]]
29,74,[[0.97856992]]
29,75,[[0.93165661]]
29,87,[[0.44759085]]
29,88,[[0.42839202]]
29,89,[[0.42970742]]
29,90,[[0.38406371]]
29,91,[[0.41798474]]
29,95,[[0.33597727]]
29,96,[[0.34669922]]
29,97,[[0.30244676]]
29,98,[[0.36573372]]
29,99,[[0.33952672]]
31,32,[[0.91866697]]
31,33,[[0.92937405]]
31,34,[[0.92996029]]
31,37,[[0.39854747]]
31,38,[[0.36833738]]
31,39,[[0.4284706]]
31,40,[[0.39671822]]
31,41,[[0.30056953]]
31,42,[[0.32110528]]
31,46,[[0.35102059]]
31,47,[[0.33246977]]
31,48,[[0.31006781]]
31,49,[[0.31110139]]
31,50,[[0.31093894]]
31,56,[[0.39388637]]
31,57,[[0.39622933]]
31,58,[[0.23806991]]
31,69,[[0.33376978]]
31,70,[[0.30608198]]
31,71,[[0.3024617]]
31,72,[[0.3584227]]
31,73,[[0.33210889]]
31,74,[[0.38458232]]
31,75,[[0.38023914]]
31,87,[[0.25186246]]
31,88,[[0.23703804]]
31,89,[[0.20799882]]
31,90,[[0.29240392]]
31,91,[[0.2425676]]
31,95,[[0.43041154]]
31,96,[[0.47707045]]
31,97,[[0.46927324]]
31,98,[[0.49552673]]
31,99,[[0.47163092]]
32,33,[[0.98177251]]
32,34,[[0.98678602]]
32,37,[[0.31238412]]
32,38,[[0.29175857]]
32,39,[[0.32503664]]
32,40,[[0.35368005]]
32,41,[[0.29562399]]
32,42,[[0.30173329]]
32,46,[[0.36488522]]
32,47,[[0.32645473]]
32,48,[[0.30930642]]
32,49,[[0.311815]]
32,50,[[0.32014861]]
32,56,[[0.48116984]]
32,57,[[0.47815151]]
32,58,[[0.31567168]]
32,69,[[0.34686184]]
32,70,[[0.3321003]]
32,71,[[0.35580602]]
32,72,[[0.34115564]]
32,73,[[0.36657719]]
32,74,[[0.38213755]]
32,75,[[0.41215129]]
32,87,[[0.33661477]]
32,88,[[0.29725216]]
32,89,[[0.2120988]]
32,90,[[0.35244662]]
32,91,[[0.30198752]]
32,95,[[0.39913926]]
32,96,[[0.43390712]]
32,97,[[0.42327042]]
32,98,[[0.46650182]]
32,99,[[0.43584928]]
33,34,[[0.98144936]]
33,37,[[0.32868704]]
33,38,[[0.28490812]]
33,39,[[0.35803904]]
33,40,[[0.37861679]]
33,41,[[0.32582508]]
33,42,[[0.3385447]]
33,46,[[0.39929342]]
33,47,[[0.35363028]]
33,48,[[0.33486648]]
33,49,[[0.33590127]]
33,50,[[0.338192]]
33,56,[[0.45284251]]
33,57,[[0.45503746]]
33,58,[[0.29246221]]
33,69,[[0.34488617]]
33,70,[[0.32177068]]
33,71,[[0.34174075]]
33,72,[[0.35774615]]
33,73,[[0.35904905]]
33,74,[[0.36282371]]
33,75,[[0.39267944]]
33,87,[[0.31734835]]
33,88,[[0.27974377]]
33,89,[[0.22059602]]
33,90,[[0.31282439]]
33,91,[[0.29035471]]
33,95,[[0.39278507]]
33,96,[[0.43129448]]
33,97,[[0.42351553]]
33,98,[[0.45670982]]
33,99,[[0.43516407]]
34,37,[[0.32995201]]
34,38,[[0.31045055]]
34,39,[[0.34380989]]
34,40,[[0.39883084]]
34,41,[[0.32697491]]
34,42,[[0.33380436]]
34,46,[[0.37102015]]
34,47,[[0.34283898]]
34,48,[[0.3251891]]
34,49,[[0.32886808]]
34,50,[[0.31919935]]
34,56,[[0.43486894]]
34,57,[[0.43434634]]
34,58,[[0.28276153]]
34,69,[[0.36351082]]
34,70,[[0.34216768]]
34,71,[[0.36028321]]
34,72,[[0.3719668]]
34,73,[[0.3793567]]
34,74,[[0.39070704]]
34,75,[[0.42702661]]
34,87,[[0.34327362]]
34,88,[[0.30712592]]
34,89,[[0.23122449]]
34,90,[[0.35057252]]
34,91,[[0.31783969]]
34,95,[[0.38870323]]
34,96,[[0.42860144]]
34,97,[[0.41293422]]
34,98,[[0.4570289]]
34,99,[[0.43081428]]
37,38,[[0.93942297]]
37,39,[[0.98023035]]
37,40,[[0.44493772]]
37,41,[[0.39198669]]
37,42,[[0.34545905]]
37,46,[[0.38355261]]
37,47,[[0.38880963]]
37,48,[[0.38963246]]
37,49,[[0.36969749]]
37,50,[[0.37199484]]
37,56,[[0.4865322]]
37,57,[[0.47839426]]
37,58,[[0.43246244]]
37,69,[[0.46279468]]
37,70,[[0.44393771]]
37,71,[[0.42003687]]
37,72,[[0.45532421]]
37,73,[[0.41055868]]
37,74,[[0.37595563]]
37,75,[[0.33879392]]
37,87,[[0.38217265]]
37,88,[[0.3953625]]
37,89,[[0.39726111]]
37,90,[[0.35279342]]
37,91,[[0.40394764]]
37,95,[[0.42234113]]
37,96,[[0.43824793]]
37,97,[[0.40275052]]
37,98,[[0.42837184]]
37,99,[[0.44090285]]
